window_id,has_start,start_idx,start_norm,has_end,end_idx,end_norm
0,1,64,0.2882882882882883,0,-1,-1.0
1,1,44,0.1981981981981982,0,-1,-1.0
2,1,24,0.10810810810810811,0,-1,-1.0
3,1,4,0.018018018018018018,0,-1,-1.0
4,0,-1,-1.0,0,-1,-1.0
5,0,-1,-1.0,1,219,0.9864864864864865
6,0,-1,-1.0,1,199,0.8963963963963963
7,1,212,0.954954954954955,1,179,0.8063063063063063
8,1,192,0.8648648648648649,1,159,0.7162162162162162
9,1,172,0.7747747747747747,1,139,0.6261261261261262
10,1,152,0.6846846846846847,1,119,0.536036036036036
11,1,132,0.5945945945945946,1,99,0.44594594594594594
12,1,112,0.5045045045045045,1,79,0.35585585585585583
13,1,92,0.4144144144144144,1,59,0.26576576576576577
14,1,72,0.32432432432432434,1,39,0.17567567567567569
15,1,52,0.23423423423423423,1,19,0.08558558558558559
16,1,32,0.14414414414414414,1,172,0.7747747747747747
17,1,12,0.05405405405405406,1,152,0.6846846846846847
18,1,165,0.7432432432432432,1,132,0.5945945945945946
19,1,145,0.6531531531531531,1,112,0.5045045045045045
20,1,125,0.5630630630630631,1,92,0.4144144144144144
21,1,105,0.47297297297297297,1,72,0.32432432432432434
22,1,85,0.38288288288288286,1,52,0.23423423423423423
23,1,65,0.2927927927927928,1,32,0.14414414414414414
24,1,45,0.20270270270270271,1,12,0.05405405405405406
25,1,25,0.11261261261261261,1,207,0.9324324324324325
26,1,5,0.02252252252252252,1,187,0.8423423423423423
27,1,200,0.9009009009009009,1,167,0.7522522522522522
28,1,180,0.8108108108108109,1,147,0.6621621621621622
29,1,160,0.7207207207207207,1,127,0.5720720720720721
30,1,140,0.6306306306306306,1,107,0.481981981981982
31,1,120,0.5405405405405406,1,87,0.3918918918918919
32,1,100,0.45045045045045046,1,67,0.30180180180180183
33,1,80,0.36036036036036034,1,47,0.21171171171171171
34,1,60,0.2702702702702703,1,27,0.12162162162162163
35,1,40,0.18018018018018017,1,7,0.03153153153153153
36,1,20,0.09009009009009009,0,-1,-1.0
37,1,0,0.0,0,-1,-1.0
38,1,80,0.36036036036036034,0,-1,-1.0
39,1,60,0.2702702702702703,0,-1,-1.0
40,1,40,0.18018018018018017,0,-1,-1.0
41,1,20,0.09009009009009009,0,-1,-1.0
42,1,0,0.0,0,-1,-1.0
43,0,-1,-1.0,0,-1,-1.0
44,0,-1,-1.0,0,-1,-1.0
45,0,-1,-1.0,0,-1,-1.0
46,0,-1,-1.0,0,-1,-1.0
47,0,-1,-1.0,1,218,0.9819819819819819
48,0,-1,-1.0,1,198,0.8918918918918919
49,1,219,0.9864864864864865,1,178,0.8018018018018018
50,1,199,0.8963963963963963,1,158,0.7117117117117117
51,1,179,0.8063063063063063,1,138,0.6216216216216216
52,1,159,0.7162162162162162,1,118,0.5315315315315315
53,1,139,0.6261261261261262,1,98,0.44144144144144143
54,1,119,0.536036036036036,1,78,0.35135135135135137
55,1,99,0.44594594594594594,1,58,0.26126126126126126
56,1,79,0.35585585585585583,1,38,0.17117117117117117
